armazens,pacotes,capacidade,intervalo_tranp,tempo_exec_s
10,10000,100,2,0.0629101
50,10000,100,2,0.170914
150,10000,100,2,1.31398
200,10000,100,2,3.00877
250,10000,100,2,2.71045
500,10000,100,2,8.42151
550,10000,100,2,12.8418
600,10000,100,2,12.3349
5,10,100,1,0.00049433
5,50,100,1,0.0004865
5,100,100,1,0.000722277
5,250,100,1,0.00136869
5,400,100,1,0.0017859
5,500,100,1,0.0019944
100,10,100,1,0.000895347
100,50,100,1,0.0125546
100,100,100,1,0.0181252
100,250,100,1,0.0668885
100,400,100,1,0.146892
100,500,100,1,0.0754637
10,1000,1,10,0.0125319
10,1000,1,100,0.0245248
10,1000,1,250,0.0164344
10,1000,1,500,0.0148434
10,1000,50,10,0.00554761
10,1000,50,100,0.00547844
10,1000,50,250,0.0053645
10,1000,50,500,0.0139777
10,1000,100,10,0.00546133
10,1000,100,100,0.00543139
10,1000,100,250,0.00601899
10,1000,100,500,0.00531198
